classe_nom;classe_niveau;date_conseil;heure_debut;heure_fin;salle_conseil;president_conseil
3I;3eme;2026-03-02;17:15;18:15;ULIS 2;M BAUDIER
3J;3eme;2026-03-02;18:15;19:15;ULIS 2;M BAUDIER
3E;3eme;2026-03-03;17:15;18:15;ULIS 1;MME CARTIER
3G;3eme;2026-03-03;18:15;19:15;ULIS 1;MME CARTIER
3D;3eme;2026-03-05;17:15;18:15;ULIS 1;MME CARTIER
3F;3eme;2026-03-05;18:15;19:15;ULIS 1;MME CARTIER
3C;3eme;2026-03-09;17:15;18:15;ULIS 1;MME CARTIER
3H;3eme;2026-03-09;18:15;19:15;ULIS 1;MME CARTIER
3A;3eme;2026-03-12;17:15;18:15;SEGPA;M HARDY
5F;5eme;2026-03-16;16:15;17:15;ULIS 2;M BAUDIER
4A;4eme;2026-03-16;17:15;18:15;SEGPA;M HARDY
4H;4eme;2026-03-16;17:15;18:15;ULIS 2;M BAUDIER
4D;4eme;2026-03-16;18:15;19:15;ULIS 2;M BAUDIER
5H;5eme;2026-03-16;17:15;18:15;ULIS 1;MME CARTIER
5C;5eme;2026-03-17;16:15;17:15;ULIS 1;MME CARTIER
6C;6eme;2026-03-17;16:15;17:15;ULIS 2;M BAUDIER
5D;5eme;2026-03-17;17:15;18:15;ULIS 1;MME CARTIER
4G;4eme;2026-03-17;17:15;18:15;ULIS 2;M BAUDIER
6E;6eme;2026-03-19;16:15;17:15;ULIS 2;M BAUDIER
5E;5eme;2026-03-19;16:15;17:15;ULIS 1;MME CARTIER
6A;6eme;2026-03-19;17:15;18:15;SEGPA;M HARDY
6D;6eme;2026-03-19;17:15;18:15;ULIS 2;M BAUDIER
4F;4eme;2026-03-19;18:15;19:15;ULIS 2;M BAUDIER
5A;5eme;2026-03-19;18:15;19:15;SEGPA;M HARDY
6F;6eme;2026-03-23;16:15;17:15;ULIS 2;M BAUDIER
5I;5eme;2026-03-23;17:15;18:15;ULIS 1;MME CARTIER
6G;6eme;2026-03-23;17:15;18:15;ULIS 2;M BAUDIER
4E;4eme;2026-03-23;18:15;19:15;ULIS 2;M BAUDIER
6J;6eme;2026-03-24;16:15;17:15;ULIS 1;MME CARTIER
6H;6eme;2026-03-24;17:15;18:15;ULIS 2;M BAUDIER
6I;6eme;2026-03-24;17:15;18:15;ULIS 1;MME CARTIER
4C;4eme;2026-03-26;16:15;17:15;ULIS 2;M BAUDIER
5G;5eme;2026-03-26;16:15;17:15;ULIS 1;MME CARTIER
